title,postedAt,description,url,fixedPriceBudget,contractType,tags,hourlyRate
"Linkedin Datamining, Create a email list",4 days ago,"I want to get the email addresses for an outreach of either the Linkedin Group members of a group on Linkedin
Or the contacts of a Linkedin member
All we will need is the Name, Company, position & email address",/jobs/Linkedin-Datamining-Create-span-class-highlight-email-span-list_~01f4a39792cc221ff7/?referrer_url_path=/nx/search/jobs,,Hourly: $4.00 - $10.00,"D;a;t; ;S;c;r;p;i;n;g;,;O;l;e;R;s;h;L;B;u;d;M;G;o;P",$4.00 - $10.00
Lead Generation Specialist For Local Businesses,4 days ago,"We are seeking a skilled freelancer to generate leads for local businesses, obtaining crucial information such as owners' contact details, including emails and phone numbers. The ideal candidate will leverage platforms like Yelp, Yellow Pages, and LinkedIn Sales Navigator to compile a comprehensive list of potential leads. Attention to detail, proficiency in online research, and excellent data collection skills are essential. If you have a proven track record in successful lead generation and are familiar with the mentioned platforms, we invite you to apply and contribute to our business growth.",/jobs/Lead-Generation-Specialist-For-Local-Businesses_~01104b23b43da2a093/?referrer_url_path=/nx/search/jobs,$10.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;P;s;B;u;l;M;k;R;h;E;y;C;O;b;+;2",
Data scraper to find accurate phone numbers and emails for a list of people and businesses.,4 days ago,We are a real estate company in Canada looking for someone to source accurate and up to date email addresses and phone numbers for a list of property owners. The contact data will need to be entered into a spreadsheet that contains the names and properties.,/jobs/Data-span-class-highlight-scraper-span-find-accurate-phone-numbers-and-span-class-highlight-emails-span-for-list-people-and-businesses_~01e3c0336523ec5209/?referrer_url_path=/nx/search/jobs,,Hourly: $3.00 - $8.00,"D;a;t; ;S;c;r;p;i;n;g;,;M;L;s;B;u;l;d;E;y",$3.00 - $8.00
Find email addresses for a list of companies,4 days ago,I have a list of about 1700 local contractors that I would like  email address for. Most should be available online.,/jobs/Find-span-class-highlight-email-span-addresses-for-list-companies_~0148e36d4af4ec2c87/?referrer_url_path=/nx/search/jobs,$100.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;M;C;o;m;y;R;e;s;h;P;L;E;B;u;l;d;G",
Conference LinkedIn List (Scraping),4 days ago,I need someone to look at this conference: https://www.asugsvsummit.com/ and scrape a list of attendees and their LinkedIn profile link.,/jobs/Conference-LinkedIn-List-span-class-highlight-Scraping-span_~01c0d6284108fd0c42/?referrer_url_path=/nx/search/jobs,$150.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;M;L;s;B;u;l;d;E;y;P;o;e;k;R;h",
Lead generation: Collect emails on an ongoing basis,4 days ago,"Obtain emails of people at different companies. The email ID needs to be checked by sending a dummy/blank/test email before confirming it is the right one and providing it to me. 

This work would be ongoing, so this may be considered as just the start of recurring work with new milestones later on. I will pay a flat rate of $1.20 per email collected.",/jobs/Lead-generation-Collect-span-class-highlight-emails-span-ongoing-basis_~01e5d4fbcc29e3eae7/?referrer_url_path=/nx/search/jobs,$5.00,Fixed price,"L;e;a;d; ;G;n;r;t;i;o;,;P;s;p;c",
Data mining-Search for Germany KOL on YouTube,4 days ago,"Need Youtube video link、Channel name、including email and genre 、followers、Keywords in the table.
The types of KOL you need to look for include photography and videography、video editing,、software and hardware reviews、 film animation、travel、games、computer related and life vlogs.
1. Amount: 250
2. Language: German
3. Reference Keywords: 
Computer Wiederherstellung、Datenwiederherstellung、Fotowiederherstellung,、Videowiederherstellung、Dateiwiederherstellung、Audiowiederherstellung、 Fotoreparatur、Dateireparatur、BitLocker-Datenwiederherstellung、Disk Image Wiederherstellung、Festplatten & Standorte Datenwiederherstellung、Systemabsturz Computer Wiederherstellung、NAS Datenwiederherstellung、Linux Datenwiederherstellung
4. Reference website: https://recoverit.wondershare.de/ 、https://recoverit.wondershare.de/data-recovery.html
5. Frequency of updates: at least 1 per month
6. VPH more than the 3 
7. SEO score more than the 30
8. Views more than the 10000
9. Must not: Please do not crawl any Recoverit related videos、like official YouTube channel or collab cooperated videos",/jobs/Data-mining-Search-for-Germany-KOL-YouTube_~01b7eb976adc550560/?referrer_url_path=/nx/search/jobs,$40.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;s;B;u;l;d;M;G;o;e;h",
Lead Automation Specialist for Agency,4 days ago,"Greetings,

We're looking for a marketing automation specialist that has experience with the below:

End result:
Our Prospects receive email that doesn't end up in spam, with our offer - if prospect doesn't reply, mini sequence/flow, until deleted from prospective pipeline.

Experience with tools such as apollo or similar tools
-Ability to transparently propose/create visual sequences (before approval), set up emails(content), work with copywriter for best emails or ai tools 
-Ability to provide/show weekly results and process + stats.
-Ability to test + set up different platforms ( platform X + platform Y/vs , etc)
-Ability to work with our clients directly via calls & email threads
-Ability to estimate the offer transparently + estimate time to deploy
-Rather fluent in English
-Quick to reply on internal communications to key stakeholders",/jobs/Lead-Automation-Specialist-for-Agency_~019c356eaa32252e3b/?referrer_url_path=/nx/search/jobs,,Hourly,"D;a;t; ;S;c;r;p;i;n;g;,;E;m;l;M;k;e;L;d;G;o;s;B;u",Hourly
Create a list of companies that use security scanners that Pixee integrates with,4 days ago,"Pixee.ai integrates with the scanners listed at https://pixee.ai/integrations with more coming.
We want to connect with managers, directors, and executives in the engineering department of companies who use at least one of these scanners.

Create a spreadsheet that contains the following columns. The company names should correspond with that in LinkedIn.
•    company name
•    company domain name
•    company LinkedIn URL
•    person name
•    person LinkedIn URL
•    person role: manager, director, executive
•    person email address

Companies in this list should be
•    size: at least 250 people
•    programming language: Java, Python
•    SCM: GitHub
•    Tools: Semgrep, Sonar, CodeQL

Sources of desired information include, and are not limited to:
•    https://sonarcloud.io/explore/projects?sort=-analysis_date&languages=java%2Cpy&size=2
•    https://www.sonarsource.com/company/customers
•    data providers, etc.",/jobs/Create-list-companies-that-use-security-scanners-that-Pixee-integrates-with_~01e7c92a44a267e839/?referrer_url_path=/nx/search/jobs,"$1,000.00",Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;T;e;h;&;I;M;C;o;m;y;R;s",
Lead Enrichment Work for Retail Startup,4 days ago,"Looking for someone with strong data/lead enrichment skills, specifically with a focus in finding good emails for sales outreach. We would looking for someone who can quickly turn around lists on a weekly basis and fill in relevant information that will support our outreach conversion.",/jobs/Lead-Enrichment-Work-for-Retail-Startup_~012dbf2c0345e3d94d/?referrer_url_path=/nx/search/jobs,,Hourly,"D;a;t; ;S;c;r;p;i;n;g;,;E;m;l;L;s;e;d;G;o;B;u;2;M;y;V;A;k;I;v;R;C;h;P;+;9",Hourly
Data Mining,4 days ago,I need someone to help me find relevant investors based in the middle east. These invests will be companies and in the companies i will need 2-4 contacts to contact via email so need to find their email also. The type of investors is specific so you need to have some knowledge of investments or asset classes,/jobs/Data-Mining_~01cb9c8d9cdb78eb87/?referrer_url_path=/nx/search/jobs,,Hourly,"D;a;t; ;S;c;r;p;i;n;g;,;E;y;L;e;d;G;o;s;B;u;l;C;m;R;h;O;M;P;b;+;5",Hourly
"Urgent: Find the CEO and CFO of Companies, Data Entry, Lead Gen",4 days ago,"I will share a list of 200 public companies with you. I am looking for their Domain and the name of CEO and CFO. 
Emails are not required. 

This is a straightforward task. Details can be easily found with a simple Google Search.",/jobs/Urgent-Find-the-CEO-and-CFO-Companies-Data-Entry-Lead-Gen_~01a8809bf428d928df/?referrer_url_path=/nx/search/jobs,$20.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;E;y;M;L;e;d;G;o;s;f;x;l;B;u;P;k;R;h;+;2",
Scrape the web for Travel Advisor leads,4 days ago,"Scrape the web for Contact information of US based travel advisors with greater than 5000 Instagram followers. Output in a n excel file: First Name, Last Name, agency, IATA number (if available), phone number, email address, and mailing address.",/jobs/span-class-highlight-Scrape-span-the-web-for-Travel-Advisor-leads_~0171f65778bfd6ed52/?referrer_url_path=/nx/search/jobs,$30.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;M;o;s;f;E;x;e;l;L;d;G;P;A;u;m",
Data Scraping Specialist for Lead Generation,4 days ago,"We are seeking a skilled freelancer to assist in generating leads by scraping contact information from a list of companies (around 1000 companies) provided by our team. This project requires attention to detail, proficiency in data scraping techniques, and the ability to deliver accurate and comprehensive datasets.

Responsibilities:

- Utilize web scraping tools and techniques to extract contact details (such as names, emails, phone numbers) of key personnel from the provided list of companies.
- Verify and ensure the accuracy of scraped data before submission.
- Organize and compile extracted data into a structured format (e.g., CSV, Excel) for easy analysis and integration into our lead management system.

Additional Information:

- The list of companies will be provided in a specified format.
- The freelancer will need to adhere to all data privacy and security guidelines.
- Regular check-ins and updates will be required to ensure project milestones are met.",/jobs/Data-span-class-highlight-Scraping-span-Specialist-for-Lead-Generation_~013b374e5d77453852/?referrer_url_path=/nx/search/jobs,$100.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;s;B;u;l;d",
Lead Gen / B2B Data - Using Online Tools,4 days ago,"Looking for someone who can generate online leads for businesses in specific areas. The data I am looking for includes

Revenue (sales revenue per year)
Location
Industry (which give this to you)
Owner name / number / email
Website
Tel number

Looking for someone who uses a number of tools & can generate leads quickly.  

There are a number of projects involved with this.",/jobs/Lead-Gen-B2B-Data-Using-Online-Tools_~0136c120d9b44e6f2c/?referrer_url_path=/nx/search/jobs,,Hourly,"L;e;a;d; ;G;n;r;t;i;o;,;P;s;p;c;B;u;l;g;D;E;y",Hourly
Extract data from App,4 days ago,"Scrape the Kite Spot app https://kitespotapp.com/  for ALL email address of centres listed there.

Reuqired:

Kite Centre
Country
Continent

PLEASE CHECK THE APP and give a realistic timeframe for collecting all email addresses and providing in Google Sheet.

Many thanks :)",/jobs/Extract-data-from-App_~014a20331e3118435f/?referrer_url_path=/nx/search/jobs,$50.00,Fixed price,"D;a;t; ;E;x;r;c;i;o;n;,",
Data Enrichment,4 days ago,"Job Title: Data Enrichment Specialist (Publishers & SEO)

Job Summary:

We are seeking a meticulous Data Enrichment Specialist to expand our existing database of publishers with relevant contact details for SEO outreach. The ideal candidate will be responsible for researching and verifying accurate email addresses and author names, ensuring that our outreach team can efficiently connect with key individuals in the publishing industry.

Responsibilities:

Conduct thorough research to identify and verify email contacts and authors associated with a list of specified publishers.
Update and maintain accurate information in our SEO-focused spreadsheet.
Ensure all data additions adhere to privacy and compliance standards.
Collaborate with the SEO and marketing teams to enhance outreach strategies.

Qualifications:

Experience in data collection, entry, and verification.
Proficient in using Excel or similar spreadsheet software.
Strong research and analytical skills.
Excellent attention to detail and accuracy.
Good communication and organizational skills.",/jobs/Data-Enrichment_~0186c33a811f592b27/?referrer_url_path=/nx/search/jobs,,Hourly,"D;a;t; ;S;c;r;p;i;n;g;,;M;E;y;o;s;f;x;e;l;L;d;G;k;R;h;+;1",Hourly
Finding Airbnb / STR Owners & Managers in Metro Vancouver,4 days ago,"I am looking to build a list of Airbnb and short-term rental hosts, owners, and managers. The end result is, ideally, a list of people with emails.

I tried to scrape Airbnb for host information but it is not publicly available. I have checked Metro Vancouver Airbnb / STR Facebook groups and it seems these are a good place to start looking.",/jobs/Finding-Airbnb-STR-Owners-Managers-Metro-Vancouver_~01cfb7f06d11c1b559/?referrer_url_path=/nx/search/jobs,,Hourly: $5.00 - $100.00,"L;e;a;d; ;G;n;r;t;i;o;,;s;B;u;l;g;P;p;c;M;k;R;h",$5.00 - $100.00
Influencer scraper that can get me contact information about influencers who have email newsletters,4 days ago,"I need contact Information form Influencers with Active Email Newsletters

I need a skilled freelancer who can assist me in acquiring information lists of clients for my ghostwriting agency.

Specifically, I am looking for influencers who have active email newsletters.

Client Profile:

Influencers - English speaking individuals who have established themselves as influencers in their respective niches, it doesn’t matter in what platform they are in.
  
Active Newsletter - Influencers who maintain an active email newsletter, regularly sending out emails with content to their followers.


Information Required:

For each potential client fitting this profile, I need the following information:

- Name
- Email 
- Social media handles
- Link to their newsletter (essential)
- Follower count 


If you believe you have access to email lists of influencers who fit this client profile with email newsletters, I would love to discuss further details and potentially collaborate with you.",/jobs/Influencer-span-class-highlight-scraper-span-that-can-get-contact-information-about-influencers-who-have-span-class-highlight-email-span-newsletters_~01393b88addad81d53/?referrer_url_path=/nx/search/jobs,$200.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;P;o;s;e;L;d;G",
Looking for Two Lead Generation Specialists (Email Collection),4 days ago,"I need two lead generators to collect 5000 leads. 

Things Need To Collect:

- Name
- Designation
- Email Address
- Business Niche

Accepted Designation
- Editor/Content Editor  (First Priority)

If the editor is not found, you may collect the email of following people :

- Website Owner
- Webmaster
- SEO/Marketers

Accepted email address:
- name.. (first priority)
- Info..
- Hello..

Not accepted email address:
- Career..
- Customersupport..
- Support.com..
Anything related to a specific department like tech, sales etc are not accepted.


Budget:

$100 for 1500 emails.",/jobs/Looking-for-Two-Lead-Generation-Specialists-span-class-highlight-Email-span-Collection_~015ee23849ed77d56e/?referrer_url_path=/nx/search/jobs,$200.00,Fixed price,"F;i;n;a;c;e; ;&;A;o;u;t;g;,;L;d;G;r;P;s;p;B;l;D;E;y",
Data Collection,4 days ago,"I need to collect the emails of 100 Businesses in Adelaide so that I can cold outreach them.

I need these things put in a Google spreadsheet: (see screenshot)
- Business Name 	
- Email	
- Business Category	
- Facebook URL	
- Website URL 

I will need 10 businesses in each category.

Ongoing work available.",/jobs/Data-Collection_~0117b7b22fcfc10fe6/?referrer_url_path=/nx/search/jobs,$10.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;A;d;e;m;R;s;h;O;l;L;B;u;E;y;C;o;M;f;x;+;4",
Data Extracting Project,4 days ago,"Hello,

I wish to hire someone to data mine specific type of companies just based in the region of all London. with this information, I wish to send out cold emailing to offer our services. 
The data mining/scrapping should include a document/spreadsheet with certain information I require to enable me to send out cold emails effectively. 

Regards,

Akik",/jobs/Data-Extracting-Project_~014b4395e26a76c82c/?referrer_url_path=/nx/search/jobs,$50.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;E;m;l;C;o;u;d;M;L;s;e;h;f;w",
Extracting emails from linkedin,4 days ago,"Scraping Data From LinkedIni
want to find as much emails address as possible in marketing services of one  industy ,  
today we are  searching persons on Linkedin with brand names search or job description search
when we find a person who can be interesting for us",/jobs/Extracting-span-class-highlight-emails-span-from-linkedin_~010e7edefae77168e0/?referrer_url_path=/nx/search/jobs,$10.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;M;E;y;L;e;d;G;o;s;B;u;l;P;f;x",
Extracting emails from linkedin,4 days ago,"Scraping Data From LinkedIni
want to find as much emails address as possible in marketing services of one  industy ,  
today we are  searching persons on Linkedin with brand names search or job description search
when we find a person who can be interesting for us",/jobs/Extracting-span-class-highlight-emails-span-from-linkedin_~01a5efa2ee72684964/?referrer_url_path=/nx/search/jobs,$10.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;M;E;y;s;B;u;l;P;f;x;h;+;2",
Data Scraping to build static database (for region Europe),4 days ago,"We are looking for a data scraping expert to assist us with scraping data, driven primarily from information on Google Maps. This would be a one-off data-set which would be used to populate a website map, but which would not require any ongoing APIs thereafter. The main goal of this project is to collect specific data points such as business names, addresses, and contact information from individual businesses targeted. Although actual details of business type to be provided on hiring, it is important to note that this business type is easily identifiable and searchable by no more than approximately the same 2 words anywhere globally.

Here are the following data sets need to be scraped:

Basic 
-	Name of Business*

Contact
-	Email address* (as provided on Google Maps or through their website)
-	Telephone Number
-	Website address*

Location
-	Address (as listed on Google)*
-	Town/City
-	Province/Region/State (or equivalent)
-	Country 
-	Continent

(* Mandatory)

The initial scope of work should focus on entries in a specific set of countries in Europe. Additional scope covering Asia, Americas and will be agreed separately depending on the pricing and output for  this first region.

Europe
-	Italy
-	Spain
-	Portugal
-	France
-	Belgium
-	Netherlands
-	Germany
-	Switzerland
-	United Kingdom
-	Ireland
-	Greece
-	Turkey
-	Malta
-	Cyprus
-	Croatia
-	Slovenia
-	Albania
-	Poland
-	Finland
-	Sweden
-	Norway

The data should be provided in an excel file with an agreed set of ordered columns, containing the data sets required. Contractor should pay special attention to ensure a detailed geographic breakdown (especially for countries with have Provinces/Region/States). 

For your proposal, and this Region, please outline the following:
-	number of hours 
-	fixed price (for this Region) 
-	time to completion
-	approach to be used
-	relevant experience

Criteria for selection:
- Price
- Speed
- Quality of solution and output 

We are of course happy to provide any clarifications needed.",/jobs/Data-span-class-highlight-Scraping-span-build-static-database-for-region-Europe_~0128bab794e7340e50/?referrer_url_path=/nx/search/jobs,,Hourly: $5.00 - $20.00,"D;a;t; ;S;c;r;p;i;n;g;,;M;E;x;o;y",$5.00 - $20.00
Expert Data Scraper,4 days ago,"Hi,
I hope this message finds you well. We are a newly established Digital Agency located in Mumbai, India, and we are currently seeking an individual skilled in data scraping from LinkedIn.

Specifically, we require someone capable of extracting email addresses and other pertinent information from the ""Jobs Posted"" section of LinkedIn. While we believe this task may necessitate manual effort rather than automated software, we are open to exploring software solutions if you believe they could effectively fulfill the requirements. Should you require access to a specific software subscription for this purpose, we are prepared to provide it.

We are prepared to offer a total payment of $100 upon obtaining 12 positive conversations resulting from the data you scrape and provide to us.

Warm regards,",/jobs/Expert-Data-span-class-highlight-Scraper-span_~013f036057f4a4c175/?referrer_url_path=/nx/search/jobs,$600.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;C;l;e;M;P;y;h;o;E;x;s;f;T;L;d;G;+;3",
Influencers Data Extraction,4 days ago,"Hello freelancers! Im looking for an individual to scrape a influencers for me. Im looking for 200 of influencers within certain guidelines. To be put in to excel  sheet.

These influencers need to be fitness based and I want to capture any influencers who target people between the ages of 16-30 but mainly Gen-Z's based in fitness space. Specifically they need to:

- Past experiences with promoting products and campaigns     
- be thrust worthy (not too controversial and don't have bad back story)
- have a 10% engagement on there videos or at least 8% (the 10% of likes to 100% views. Ask if you don't understand because it is CRUCIAL!!! )

And also I want a full range influencers from lil one to the biggest on. And I scale it like this:

- NANO - 1,000 - 10,000 views 
- MICRO - 10,000 - 50,000 views 
- MID - 50,000 - 500,000 views
- MACRO - 500,000 - 1M views
- MEGA  - 1M+ views    

You will later put this metrics in to a sheet with every data together!!    

Then I need you to find Influencers who is based specially in UK,US and speak only in English.                         

Are you aware of the platform Tik Tok? Any influecers that would be suited for marketing brands and their products?

This won't be as easy as just copy and pasting of a fitness influencers I already have around 900 influencers and ill nerf you to make sure to that each influencer isn't duplicate so you will have to do bit digging but all I need you to scrape this data:

1. Nick name (for socials)
2. Fist name 
3. Size category
4. Email address 
    - the email must be direct to the person (don't copy mail starting with : support@, info@) 
5. Tik Tok URL adress 
6. Instagram URL adress 
7. Nationality

If you think you can do this , using software/ai or not I don't mind as long as you can make sure they are suitable!

Im looking forward  to hearing  back from you!

Adam Čebiš - Founder
Linkzen Media",/jobs/Influencers-Data-Extraction_~014710fdc9299a638b/?referrer_url_path=/nx/search/jobs,$5.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;M;s;f;E;x;l;y",
Google Map Scraping Expert,4 days ago,"Hello, I'm seeking someone who can scrape data from Google Maps using Livescraper.com services.

I need all the fields that Livescraper provides. They provide more than 65 fields including email.

https://livescraper.com/google-maps-scraper

This is a long-term job. We need Google Maps data very often.

Best Regards",/jobs/Google-Map-span-class-highlight-Scraping-span-Expert_~017a1d87025c403caf/?referrer_url_path=/nx/search/jobs,,Hourly: $15.00 - $25.00,"E;m;a;i;l; ;L;s;t;,;D;M;n;g;e;d;G;r;o;B;u;2;k;P;p;c;S;+",$15.00 - $25.00
Email list building,4 days ago,"I need 1,000 emails in a list for a web design campaign.",/jobs/span-class-highlight-Email-span-list-building_~017f72fd05da74c871/?referrer_url_path=/nx/search/jobs,,Hourly,"D;a;t; ;S;c;r;p;i;n;g;,;E;m;l;M;k;e;y;C;o;u;s;f;x;W;d;L;B;G;A;v;h;T;P;I;+;8",Hourly
Lead Gen Specialist - Apollo & Instantly,4 days ago,"We are hoping to build a lead-gen system for our marketing firm.  (We want to promote our own services which includes video production, digital marketing, product packaging and more. It will be a two direction approach using LinkedIn and Email. We will be using Instantly, Apollo and Probably Dux Soup. 

Your job will be to help with planning and executing both campaigns, monitoring results closely and adjusting as needed. Experience with B2B lead gen is mandatory. Experience in helping promote video production or other creative services is a plus. Thank you for applying!",/jobs/Lead-Gen-Specialist-Apollo-Instantly_~0113a4f4de37c78740/?referrer_url_path=/nx/search/jobs,,Hourly,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;s;B;u;l;P",Hourly
Email Scraping from DataTree,4 days ago,We are looking for a consistent partner who can scrape csv files. We will provide a file of real estate owners with names and their addresses. We are needing the email address associated with each owner,/jobs/span-class-highlight-Email-span-span-class-highlight-Scraping-span-from-DataTree_~017e2bdbe60416edfb/?referrer_url_path=/nx/search/jobs,,Hourly,"D;a;t; ;S;c;r;p;i;n;g;,;E;y;M;L;e;d;G;o",Hourly
Web scrape - find company details and contact information,4 days ago,"Looking for someone to conduct a web scraping task that needs to be finished by Friday, April 17th.

Required experience
- Experience performing quick and accurate data entry
- Experience conducting web research 

The goal of our project is to collect accurate information from ~300 distributor company websites in a timely manner. We will provide the list. 

We would like to scrape the following information from the list of websites that we provide: 

Company details (each field should have it's own column): 
- Company name
- Company website
- Number of employees - by associated members on Linkedin e.g., 7 associated members
- Number of employees - by company description of employees e.g., 11-50 employees
- Primary location (Country)
- Primary location (State or province)
- Primary location (Street address)
- Primary location ( Postal code)
- Number of locations
- Each unique state or province where there is a location (a column for each)

Contact information for employees - preferably managers, salespeople or purchasing managers (each field should have it's own column): 
- Employee name
- Employee job title
- Employee email
- Employee phone number
- Employee Linkedin (if available)

Application Test

Scrape information for five companies on our list in a Google sheet.
Have a PDF of your spreadsheet for us to check and then if good, hire!",/jobs/Web-span-class-highlight-scrape-span-find-company-details-and-contact-information_~01fb6b218e0d1e9649/?referrer_url_path=/nx/search/jobs,,Hourly: $10.00 - $20.00,"D;a;t; ;S;c;r;p;i;n;g;,;E;x;o;y",$10.00 - $20.00
Web Scraper To Scrape Social Media Emails,4 days ago,"I'm looking for someone that is an expert in web scraping and particular with scraping email addresses from various social media channel.

I'm looking to scrape a list of relevant influencers from places like TikTok, Youtube, and Instagram and would want to collect things like their name (if available), email, follower count, and last post date.

Please provide any examples of work like this you've done in the past and particular how you would go about scraping influencers that would be relevant for our niche (astrology). 

Looking forward to seeing your application.",/jobs/Web-span-class-highlight-Scraper-span-span-class-highlight-Scrape-span-Social-Media-span-class-highlight-Emails-span_~01c7dc37f3c2d67dfa/?referrer_url_path=/nx/search/jobs,,Hourly: $5.00 - $25.00,"D;a;t; ;S;c;r;p;i;n;g;,;M;E;x;o",$5.00 - $25.00
"Arca eDirectory Setup, need to scrape data and put in new directory",4 days ago,"I have a new directory site using the Arca eDirectory platform. I need someone to setup the site. The directory is for restaurants in Philadelphia, Pennsylvania, USA only. 

I need someone to scrape the following info and upload it to the new directory:
-Restaurant Name
-Restaurant Hours
-Restaurant Email
-Restaurant Phone
-Restaurant Address
-Restaurant Happy Hour Times
-Does the restaurant have brunch
-Restaurant Photo
-Restaurant Reservation Link",/jobs/Arca-eDirectory-Setup-need-span-class-highlight-scrape-span-data-and-put-new-directory_~015a56cf6c5c08fe7a/?referrer_url_path=/nx/search/jobs,,Hourly,"D;a;t; ;S;c;r;p;i;n;g;,;P;y;h;o;L;s;B;u;l;d",Hourly
Zoominfo List creation / prospect list build,4 days ago,"I need someone with familiarity with Zoominfo to take hundreds of companies I sent them and send me the following for each company in a spreadsheet: Name number, email, and cell number for the following: owner, president, vice president (list all if their are more than one), CFO/Chief Financial Officer, COO/Chief operating officer, CEO/Chief Executive Officer, CIO/Chief Investment Officer, VP Strategy, VP Operations. Can you do this and what do you charge per 100 companies?

Must have zoom info. Must propose a fixed cost not hourly.",/jobs/Zoominfo-List-creation-prospect-list-build_~01944bbfa65fe6a19e/?referrer_url_path=/nx/search/jobs,,Hourly,"D;a;t; ;S;c;r;p;i;n;g;,;E;y;L;s;B;u;l;d;Z;o;m;I;f;T;e;h;.;M;C",Hourly
"List building, BPO data scraping. Email lead list generation. - cold email",4 days ago,"Title: Expert Data Scraper Needed for Industry-Specific Lead Generation

Description:
We are seeking a highly skilled data scraper proficient in extracting accurate contact information from various industries. The ideal candidate should possess extensive experience with tools such as Apollo, LinkedIn Sales Navigator, and other directory scraping software.

Responsibilities:

Conducting thorough data scraping and list building for targeted industries.
Ensuring the accuracy and validity of sourced contact details.
Providing transparency by clearly documenting the sources of obtained data.
Prioritizing verified emails for effective lead generation through cold emailing.
Requirements:

Proficiency in data scraping techniques and tools, particularly Apollo and LinkedIn Sales Navigator.
Ability to deliver high-quality, accurate data within specified timelines.
Strong attention to detail and commitment to data integrity.
Experience in lead generation and familiarity with cold emailing strategies is advantageous.
If you have the expertise to deliver precise and reliable data for effective lead generation, we'd like to hear from you. Please include examples of previous similar projects and your approach to ensuring data accuracy in your proposal.",/jobs/List-building-BPO-data-span-class-highlight-scraping-span-span-class-highlight-Email-span-lead-list-generation-cold-span-class-highlight-email-span_~01bd049d8982b835ae/?referrer_url_path=/nx/search/jobs,,Hourly,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;M;u;f;&;C;s;E;y;l;F;h;B;A;m;v;k;I;R;b;+;8",Hourly
Facebook and Instagram scraping,4 days ago,"Looking for someone scrape Facebook groups and Instagram for email address of short stay hosts. You must be able to give me a short sample with a this link: https://www.facebook.com/groups/357253074396393/?ref=share

 so I know you are able to do this Job currently and successfully. You must also verify the emails to make sure they are real.

The best person will be given a permanent position

Thanks",/jobs/Facebook-and-Instagram-span-class-highlight-scraping-span_~013d6679ec6a44f732/?referrer_url_path=/nx/search/jobs,$40.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;L;e;d;G;o;F;b;k;I;s;m",
Data Scraper to Gather Influencer Data on UK Based Influencers across Multiple Niches,4 days ago,"We Are Hiring: Influencer Data Scraper Specialist to find leads across Food, Fitness and Finance in the UK.

We are an Influencer marketing agency based in the UK and we're expanding our team. We are on the lookout for a skilled Influencer Data Scraper Specialist to join us in driving targeted and impactful campaigns.

Role Overview:

As our Influencer Data Scraper Specialist, you will play a crucial role in identifying and gathering data from influencers across different niches and platforms. Your expertise will contribute to shaping successful influencer marketing strategies for our clients.

Key Criteria:

Follower Count: 

Identify influencers within the 0k to 750K range.

Geographic Focus: 

Concentrate on UK Based Influencers for Max Relevance only.

Platforms: Target influencers on TikTok, Instagram, and YouTube.

Data Points - Extract key information:

-  First Name
- Full Name 
- TikTok Handle 
- TikTok Follower Count
- TT Link 
- IG Follower Count 
- IG Link
- YouTube Link
- EMAIL
- NICHE (FITNESS, FOOD OR FINANCE)

We have provided a template spreadsheet for you to work in and include your leads in as an example.


Short-Term Commitment:

This is a short-term freelance position with an immediate need for completion.

Deliverables:

Provide a comprehensive spreadsheet organized by specified criteria containing influencer data in Google Sheets.

Quality Standards:
Emphasize accuracy and data quality. Thorough research and verification are essential.

Qualifications:

Previous experience in influencer data scraping, especially within the finance niche.

Demonstrated ability to deliver high-quality work.

Budget:
No specific constraints – competitive compensation based on experience.

Additional Requirements:

Educational Focus: Prioritize influencers with an educational angle who provide value to their audiences via coaching, informational tips, and info products.

Timeline:
Expected project duration is 2 days.

If you have the expertise to deliver accurate and high-quality influencer data, we invite you to apply for this exciting opportunity.",/jobs/Data-span-class-highlight-Scraper-span-Gather-Influencer-Data-Based-Influencers-across-Multiple-Niches_~0123ab3f4b8c26140f/?referrer_url_path=/nx/search/jobs,$30.00,Fixed price,"D;a;t; ;S;c;r;p;i;n;g;,;E;y;I;f;l;u;e;O;h;R;s",
